CPU Name,Cores,CPU Mark -,Thread Mark -,TDP (W) -,Socket,Category
06/8c,8,"5,040","2,680",NA,Unknown,Mobile/Embedded
06/8e,8,"3,848","2,388",NA,Unknown,Mobile/Embedded
06/9c,4,"3,191","1,439",NA,Unknown,Mobile/Embedded
15/70,2,"1,085",878,NA,Unknown,Unknown
AArch64 rev 0 (aarch64),8,"2,656","1,073",NA,Unknown,Unknown
AArch64 rev 1 (aarch64),8,"2,385","1,045",NA,Unknown,Unknown
AArch64 rev 2 (aarch64),8,"2,253",954,NA,Unknown,Unknown
AArch64 rev 4 (aarch64),8,"1,725",649,NA,Unknown,Unknown
AC8257V/WAB,8,735,447,NA,Unknown,Unknown
AMD 3015Ce,2,"2,096","1,342",6,FT5,Mobile/Embedded
AMD 3015e,2,"2,720","1,391",6,Unknown,Laptop
AMD 3020e,2,"2,493","1,428",6,Unknown,Laptop
AMD 4700S,8,"18,212","2,399",NA,Unknown,Desktop
AMD A10 Micro-6700T APU,4,"1,345",700,5,FT3b,Laptop
AMD A10 PRO-7350B APU,4,"1,910",911,19,FP3,Laptop
AMD A10 PRO-7800B APU,2,"3,184","1,502",65,FM2+,Desktop
AMD A10 PRO-7850B APU,2,"3,458","1,587",95,FM2+,Desktop
AMD A10-4600M APU,2,"1,923","1,067",35,FS1r2,Laptop
AMD A10-4655M APU,2,"1,637",902,25,FP2,Laptop
AMD A10-4657M APU,4,"1,759",940,35,FP2,Laptop
AMD A10-5700 APU,2,"2,731","1,438",65,FM2,Desktop
AMD A10-5745M APU,4,"1,743",982,25,FP2,Laptop
AMD A10-5750M APU,4,"1,902","1,097",35,FS1r2,Laptop
AMD A10-5757M APU,4,"1,985","1,107",35,FP2,Laptop
AMD A10-5800B APU,2,"2,897","1,526",100,FM2,Desktop
AMD A10-5800K APU,2,"2,941","1,495",100,FM2,Desktop
AMD A10-6700 APU,4,"3,090","1,607",65,FM2,Desktop
AMD A10-6700T APU,2,"2,311","1,310",45,FM2,Desktop
AMD A10-6790K APU,2,"3,124","1,569",100,FM2,Desktop
AMD A10-6800B APU,2,"2,824","1,513",100,FM2,Desktop
AMD A10-6800K APU,2,"3,154","1,605",100,FM2,Desktop
AMD A10-7300 APU,4,"1,708",842,19,FP3,Laptop
AMD A10-7400P,4,"2,106","1,060",35,FP3,Laptop
AMD A10-7700K APU,2,"3,153","1,423",95,FM2+,Desktop
AMD A10-7800 APU,2,"3,142","1,450",65,FM2+,Desktop
AMD A10-7850K APU,2,"3,353","1,509",95,FM2+,Desktop
AMD A10-7860K,2,"3,333","1,538",65,FM2+,Desktop
AMD A10-7870K,2,"3,474","1,504",95,FM2+,Desktop
AMD A10-7890K,2,"3,477","1,566",95,FM2+,Desktop
AMD A10-8700P,2,"2,265","1,150",35,FP4,Laptop
AMD A10-8750,2,"3,320","1,554",65,FM2+,Desktop
AMD A10-8850,2,"3,525","1,624",NA,Unknown,Desktop
AMD A10-9600P,4,"2,218","1,064",15,FP4,Laptop
AMD A10-9620P,4,"2,518","1,279",15,Unknown,Laptop
AMD A10-9630P,4,"2,899","1,355",35,FP4,Laptop
AMD A10-9700,4,"3,541","1,616",65,AM4,Desktop
AMD A10-9700E,4,"2,947","1,413",35,AM4,Desktop
AMD A12-9700P,4,"2,422","1,188",15,FP4,Laptop
AMD A12-9720P,4,"2,608","1,326",15,FP4,Laptop
AMD A12-9730P,4,"3,172","1,487",35,FP4,Laptop
AMD A12-9800,2,"3,428","1,601",65,AM4,Desktop
AMD A12-9800E,4,"3,447","1,604",35,AM4,Desktop
AMD A4 Micro-6400T APU,4,"1,004",530,4.5,FT3b,Laptop
AMD A4 PRO-3340B,4,"1,652",657,25,BGA769 (FT3),Laptop
AMD A4 PRO-7300B APU,1,"1,481","1,522",65,Unknown,Desktop
AMD A4 PRO-7350B,1,"1,397","1,369",65,FM2+,Desktop
AMD A4-1200 APU,2,391,295,3.9,FT3,Laptop
AMD A4-1250 APU,2,432,338,8,FT3,Laptop
AMD A4-3300 APU,2,971,"1,026",65,FM1,Desktop
AMD A4-3300M APU,2,683,766,65,FM1,Laptop
AMD A4-3305M APU,2,727,819,35,FS1,Laptop
AMD A4-3310MX APU,2,821,878,45,FS1,Laptop
AMD A4-3320M APU,2,640,656,35,FS1,Laptop
AMD A4-3330MX APU,2,752,910,45,FS1 uPGA,Laptop
AMD A4-3400 APU,2,"1,051","1,065",65,FM1,Desktop
AMD A4-3420 APU,2,"1,099","1,154",65,FM1,Desktop
AMD A4-4000 APU,1,"1,188","1,194",65,FM2,Desktop
AMD A4-4020 APU,2,"1,225","1,238",65,FM2,Desktop
AMD A4-4300M APU,1,971,976,35,FS1,Laptop
AMD A4-4355M APU,2,818,828,17,FP2,Laptop
AMD A4-5000 APU,4,"1,289",510,15,FT3,Laptop
AMD A4-5050 APU,4,"1,328",538,13.5,FT3,Laptop
AMD A4-5100 APU,4,"1,346",540,15,FT3,Laptop
AMD A4-5150M APU,2,753,700,35,FS1r2,Laptop
AMD A4-5300 APU,2,"1,349","1,348",65,FM2,Desktop
AMD A4-5300B APU,2,"1,220","1,254",65,FM2,Desktop
AMD A4-6210 APU,4,"1,478",607,15,FT3b,Laptop
AMD A4-6250J APU,4,"1,685",700,25,Unknown,Unknown
AMD A4-6300 APU,1,"1,431","1,421",65,FM2,Desktop
AMD A4-6300B APU,1,"1,328","1,373",65,Unknown,Desktop
AMD A4-6320 APU,1,"1,563","1,550",65,FM2,Desktop
AMD A4-7210 APU,4,"1,683",730,25,BGA,Laptop
AMD A4-7300 APU,1,"1,492","1,484",65,FM2,Desktop
AMD A4-9120,2,"1,229","1,059",15,BGA,Laptop
AMD A4-9120C,2,894,953,6,FT4,Laptop
AMD A4-9120e,2,899,783,NA,FT4,Laptop
AMD A4-9125,2,"1,211","1,039",15,BGA (FT4),Laptop
AMD A6 Micro-6500T APU,4,"1,146",630,NA,Unknown,Laptop
AMD A6 PRO-7050B APU,2,"1,027",905,17,FP3,Laptop
AMD A6 PRO-7400B,1,"1,641","1,494",65,FM2+,Desktop
AMD A6-1450 APU,4,"1,117",468,8,FT3,Laptop
AMD A6-3400M APU,4,"1,226",717,35,FS1,Laptop
AMD A6-3410MX APU,4,"1,176",712,45,FS1,Laptop
AMD A6-3420M APU,4,"1,262",788,35,FS1,Laptop
AMD A6-3430MX APU,4,"1,448",822,45,FS1,Laptop
AMD A6-3500 APU,3,"1,382",958,65,FM1,Desktop
AMD A6-3600 APU,4,"1,649",896,65,FM1,Desktop
AMD A6-3620 APU,4,"1,830",987,65,FM1,Desktop
AMD A6-3650 APU,4,"2,037","1,096",100,FM1,Desktop
AMD A6-3670 APU,4,"2,055","1,129",100,FM1,Desktop
AMD A6-4400M APU,1,"1,026","1,043",35,FS1r2,Laptop
AMD A6-4455M APU,1,795,788,17,FP2,Laptop
AMD A6-5200 APU,4,"1,646",657,25,FT3,Laptop
AMD A6-5345M APU,2,"1,122","1,094",17,FP2,Laptop
AMD A6-5350M APU,2,"1,142","1,197",35,FS1r2,Laptop
AMD A6-5357M APU,2,"1,260","1,268",35,FP2,Laptop
AMD A6-5400B APU,1,"1,428","1,380",65,FM2,Desktop
AMD A6-5400K APU,1,"1,273","1,266",65,FM2,Desktop
AMD A6-6310 APU,4,"1,666",750,15,FT3,Laptop
AMD A6-6400B APU,1,"1,616","1,608",65,FM2,Desktop
AMD A6-6400K APU,1,"1,450","1,427",65,FM2,Desktop
AMD A6-6420B APU,1,"1,550","1,629",65,FM2,Desktop
AMD A6-6420K APU,2,"1,538","1,557",65,FM2,Desktop
AMD A6-7000,2,"1,010",857,17,FP3,Laptop
AMD A6-7310 APU,4,"1,736",787,25,Unknown,Laptop
AMD A6-7400K APU,2,"1,587","1,422",65,FM2+,Desktop
AMD A6-7470K,1,"1,799","1,576",65,FM2+,Desktop
AMD A6-7480,2,"1,931","1,638",65,FM2+,Desktop
AMD A6-8500P,2,"1,466","1,272",15,BGA (FP4),Laptop
AMD A6-8550,2,"1,604","1,474",65,FM2+,Desktop
AMD A6-9200,2,"1,062",925,10,BGA,Laptop
AMD A6-9210,2,"1,260","1,101",15,FP4,Laptop
AMD A6-9220,2,"1,287","1,140",15,Unknown,Laptop
AMD A6-9220C,2,"1,159","1,018",6,FT4,Laptop
AMD A6-9220e,2,937,819,NA,Unknown,Laptop
AMD A6-9225,2,"1,334","1,179",15,BGA (FT4),Laptop
AMD A6-9230,2,"1,279","1,158",15,Unknown,Desktop
AMD A6-9400,2,"2,717","1,664",10,FT4,Laptop
AMD A6-9500,2,"1,864","1,618",65,AM4,Desktop
AMD A6-9500E,2,"1,841","1,478",35,AM4,Desktop
AMD A8 PRO-7150B APU,4,"1,557",789,19,FP3,Laptop
AMD A8 PRO-7600B APU,4,"2,776","1,325",65,FM2+,Desktop
AMD A8-3500M APU,4,"1,308",781,35,FS1,Laptop
AMD A8-3510MX APU,4,"1,457",826,45,FS1,Laptop
AMD A8-3520M APU,4,"1,395",841,35,FS1,Laptop
AMD A8-3530MX APU,4,"1,570",933,45,FS1,Laptop
AMD A8-3550MX APU,4,"1,579",938,45,FS1,Laptop
AMD A8-3800 APU,4,"1,939","1,064",65,FM1,Desktop
AMD A8-3820 APU,4,"2,165","1,144",65,FM1,Desktop
AMD A8-3850 APU,4,"2,244","1,207",100,FM1,Desktop
AMD A8-3870K APU,4,"2,336","1,236",100,FM1,Desktop
AMD A8-4500M APU,2,"1,622",887,35,FS1r2,Laptop
AMD A8-4555M APU,2,"1,307",788,19,FP2,Laptop
AMD A8-5500 APU,2,"2,573","1,332",65,FM2,Desktop
AMD A8-5500B APU,2,"2,707","1,393",65,FM2,Desktop
AMD A8-5545M APU,4,"1,605",873,19,FP2,Laptop
AMD A8-5550M APU,4,"1,858","1,042",35,FS1r2,Laptop
AMD A8-5557M APU,4,"1,774","1,084",35,FP2,Laptop
AMD A8-5600K APU,2,"2,799","1,416",100,FM2,Desktop
AMD A8-6410 APU,4,"1,775",786,15,BGA769 (FT3b),Laptop
AMD A8-6500 APU,2,"2,816","1,494",65,FM2,Desktop
AMD A8-6500B APU,2,"2,898","1,531",65,FM2,Desktop
AMD A8-6500T APU,2,"1,816","1,048",45,FM2,Desktop
AMD A8-6600K APU,2,"2,977","1,527",100,FM2,Desktop
AMD A8-7050,2,"1,129",890,15,Unknown,Laptop
AMD A8-7100 APU,4,"1,644",847,19,FP3,Laptop
AMD A8-7200P,4,"2,135","1,092",35,FP3,Laptop
AMD A8-7410 APU,4,"1,800",799,25,Unknown,Laptop
AMD A8-7500,2,"3,878","1,509",65,FM2+,Desktop
AMD A8-7600 APU,2,"3,212","1,451",65,FM2+,Desktop
AMD A8-7650K,2,"3,013","1,372",65,FM2+,Desktop
AMD A8-7670K,4,"3,210","1,514",95,FM2+,Desktop
AMD A8-7680,4,"3,565","1,635",45,FM2+,Laptop
AMD A8-8600P,2,"2,240","1,103",15,FP4,Laptop
AMD A8-8650,4,"2,774","1,408",65,FM2+,Desktop
AMD A8-9600,4,"3,286","1,484",65,AM4,Desktop
AMD A9-9400,2,"1,390","1,246",10,FP4,Laptop
AMD A9-9410,2,"1,504","1,317",25,FP4,Laptop
AMD A9-9420,2,"1,515","1,318",15,Unknown,Laptop
AMD A9-9420e,2,"1,139",999,NA,Unknown,Laptop
AMD A9-9425,2,"1,528","1,342",15,BGA (FT4),Laptop
AMD A9-9430,2,"1,676","1,441",NA,Unknown,Desktop
AMD A9-9820,8,"3,662",798,NA,Unknown,Unknown
AMD Athlon 1500+,1,191,275,NA,Unknown,Unknown
AMD Athlon 1640B,1,412,462,45,AM2,Desktop
AMD Athlon 200GE,2,"4,134","1,816",35,AM4,Desktop
AMD Athlon 220GE,2,"4,471","1,986",35,AM4,Laptop
AMD Athlon 240GE,2,"4,551","1,986",35,AM4,Desktop
AMD Athlon 2650e,1,274,304,15,AM2,Desktop
AMD Athlon 2800+,1,291,439,89,754,Unknown
AMD Athlon 2850e,1,333,337,22,AM2,Desktop
AMD Athlon 3000G,2,"4,479","1,998",35,AM4,Desktop
AMD Athlon 300GE,2,"4,366","1,888",35,AM4,Desktop
AMD Athlon 300U,2,"4,006","1,844",15,FP5,Laptop
AMD Athlon 320GE,2,"4,237","1,810",35,AM4,Desktop
AMD Athlon 5000 Dual-Core,2,835,892,65,"AM2,AM2+",Desktop
AMD Athlon 5150 APU,4,"1,389",550,25,"AM1,FS1b",Desktop
AMD Athlon 5200 Dual-Core,2,869,915,75,AM2,Desktop
AMD Athlon 5350 APU,4,"1,737",698,25,"AM1,FS1B",Desktop
AMD Athlon 5370 APU,4,"1,923",755,25,"AM1,FS1B",Desktop
AMD Athlon 64 2000+,1,154,173,8,Unknown,Unknown
AMD Athlon 64 2600+,1,243,292,15,Unknown,Unknown
AMD Athlon 64 2800+,1,295,375,89,754,Unknown
AMD Athlon 64 3000+,1,303,506,89,Socket 754,Desktop
AMD Athlon 64 3100+,1,484,600,89,754,Desktop
AMD Athlon 64 3200+,1,340,568,62,AM2,Unknown
AMD Athlon 64 3300+,1,375,477,NA,Unknown,Unknown
AMD Athlon 64 3400+,1,375,429,89,754,Unknown
AMD Athlon 64 3500+,1,396,568,45,AM2,Unknown
AMD Athlon 64 3700+,1,394,435,89,939,Desktop
AMD Athlon 64 3800+,1,292,461,45,AM2,Unknown
AMD Athlon 64 4000+,1,340,565,62,AM2,Unknown
AMD Athlon 64 FX-55,1,404,505,104,939,Desktop
AMD Athlon 64 FX-57,1,517,552,104,939,Desktop
AMD Athlon 64 FX-59,1,465,575,NA,939,Desktop
AMD Athlon 64 FX-60 Dual Core,2,709,912,110,939,Desktop
AMD Athlon 64 FX-62 Dual Core,2,943,"1,000",125,AM2,Desktop
AMD Athlon 64 FX-74,2,972,617,125,F (1207),Desktop
AMD Athlon 64 X2 3800+,2,566,745,89,939,Desktop
AMD Athlon 64 X2 Dual Core 3400+,2,531,505,89,754,Desktop
AMD Athlon 64 X2 Dual Core 3600+,2,596,686,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,2,611,719,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4000+,2,661,730,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4200+,2,662,781,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4400+,2,691,787,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4600+,2,716,839,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4800+,2,722,885,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5000+,2,760,882,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5200+,2,812,915,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5400+,2,876,995,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5600+,2,911,"1,021",89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,2,797,"1,008",89,Unknown,Desktop
AMD Athlon 64 X2 Dual Core 6000+,2,913,"1,018",89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 6400+,2,967,"1,142",125,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2300,2,594,624,45,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2350,2,573,674,45,AM2,Desktop
AMD Athlon 64 X2 Dual-Core TK-42,2,577,537,20,Unknown,Unknown
AMD Athlon 64 X2 Dual-Core TK-53,2,535,600,31,Unknown,Unknown
AMD Athlon 64 X2 Dual-Core TK-55,2,525,613,35,Unknown,Unknown
AMD Athlon 64 X2 Dual-Core TK-57,2,634,675,31,Unknown,Unknown
AMD Athlon 64 X2 QL-60,2,465,557,35,S1,Laptop
AMD Athlon 64 X2 QL-62,2,553,685,35,S1,Laptop
AMD Athlon 64 X2 QL-64,2,622,732,35,S1,Laptop
AMD Athlon 64 X2 QL-65,2,609,653,35,S1,Laptop
AMD Athlon 64 X2 QL-66,2,641,751,35,S1,Laptop
AMD Athlon 64 X2 QL-67,2,582,515,35,S1,Laptop
AMD Athlon 7450 Dual-Core,2,789,853,95,AM2+,Desktop
AMD Athlon 7550 Dual-Core,2,859,919,95,AM2+,Desktop
AMD Athlon 7750 Dual-Core,2,962,"1,040",95,AM2+,Desktop
AMD Athlon 7850 Dual-Core,2,"1,037","1,110",95,AM2+,Desktop
AMD Athlon Dual Core 4050e,2,616,732,45,AM2,Desktop
AMD Athlon Dual Core 4450B,2,684,780,45,AM2+,Desktop
AMD Athlon Dual Core 4450e,2,698,812,45,AM2,Desktop
AMD Athlon Dual Core 4850B,2,727,887,45,AM2+,Desktop
AMD Athlon Dual Core 4850e,2,735,879,45,AM2,Desktop
AMD Athlon Dual Core 5000B,2,835,935,65,AM2,Desktop
AMD Athlon Dual Core 5050e,2,748,875,45,AM2,Desktop
AMD Athlon Dual Core 5200B,2,796,953,65,AM2,Desktop
AMD Athlon Dual Core 5400B,2,826,969,65,AM2,Desktop
AMD Athlon Dual Core 5600B,2,737,"1,003",65,AM2+,Desktop
AMD Athlon Gold 3150G,4,"7,002","2,308",65,AM4,Desktop
AMD Athlon Gold 3150U,2,"4,034","1,783",15,FP5,Laptop
AMD Athlon Gold PRO 3150G,4,"7,702","2,321",65,AM4,Desktop
AMD Athlon Gold PRO 3150GE,4,"7,093","2,164",35,AM4,Desktop
AMD Athlon II 160u,1,358,717,20,Unknown,Desktop
AMD Athlon II 170u,1,357,728,20,"AM2+,AM3",Desktop
AMD Athlon II Dual-Core M300,2,631,747,35,Unknown,Unknown
AMD Athlon II Dual-Core M320,2,679,827,35,Unknown,Unknown
AMD Athlon II Dual-Core M340,2,676,774,35,Unknown,Unknown
AMD Athlon II N330 Dual-Core,2,665,813,35,Unknown,Unknown
AMD Athlon II N350 Dual-Core,2,767,945,35,Unknown,Unknown
AMD Athlon II N370 Dual-Core,2,899,913,35,S1g4,Unknown
AMD Athlon II Neo K125,1,302,613,12,S1,Laptop
AMD Athlon II Neo K145,1,298,592,12,S1,Laptop
AMD Athlon II Neo K325 Dual-Core,2,387,472,12,Unknown,Laptop
AMD Athlon II Neo K345 Dual-Core,2,527,552,12,Unknown,Laptop
AMD Athlon II Neo N36L Dual-Core,2,478,521,12,Unknown,Laptop
AMD Athlon II P320 Dual-Core,2,674,811,25,Unknown,Unknown
AMD Athlon II P340 Dual-Core,2,693,840,25,S1g4,Unknown
AMD Athlon II P360 Dual-Core,2,711,879,25,S1g4,Unknown
AMD Athlon II X2 210e,2,"1,105","1,105",45,AM3,Desktop
AMD Athlon II X2 215,2,952,"1,038",65,AM3,Desktop
AMD Athlon II X2 220,2,"1,024","1,105",65,AM3,Desktop
AMD Athlon II X2 235e,2,"1,049","1,107",45,AM3,Desktop
AMD Athlon II X2 240,2,935,"1,027",65,AM3,Desktop
AMD Athlon II X2 240e,2,980,"1,092",45,AM3,Desktop
AMD Athlon II X2 245,2,"1,022","1,113",65,AM2+/AM3,Desktop
AMD Athlon II X2 245e,2,"1,075","1,145",45,AM3,Desktop
AMD Athlon II X2 250,2,"1,082","1,154",65,AM3,Desktop
AMD Athlon II X2 250e,2,"1,155","1,201",45,AM3,Desktop
AMD Athlon II X2 250u,2,604,632,25,AM3,Desktop
AMD Athlon II X2 255,2,"1,155","1,246",65,AM3,Desktop
AMD Athlon II X2 260,2,"1,113","1,249",65,AM3,Desktop
AMD Athlon II X2 260u,2,663,703,25,AM3,Desktop
AMD Athlon II X2 265,2,"1,233","1,344",65,AM3,Desktop
AMD Athlon II X2 270,2,"1,234","1,353",65,AM3,Desktop
AMD Athlon II X2 270u,2,675,791,25,AM3,Desktop
AMD Athlon II X2 280,2,"1,355","1,462",65,AM3,Unknown
AMD Athlon II X2 4300e,2,990,"1,074",13,Unknown,Unknown
AMD Athlon II X2 4400e,2,"1,059","1,121",37,Unknown,Unknown
AMD Athlon II X2 4450e,2,867,"1,066",45,AM2,Desktop
AMD Athlon II X2 B22,2,"1,036","1,124",65,AM3,Desktop
AMD Athlon II X2 B24,2,"1,073","1,206",65,AM3,Desktop
AMD Athlon II X2 B26,2,"1,224","1,291",65,Unknown,Unknown
AMD Athlon II X2 B28,2,"1,177","1,347",65,AM3,Desktop
AMD Athlon II X3 400e,3,"1,320",908,45,AM3,Desktop
AMD Athlon II X3 405e,3,"1,331",973,45,AM3,Desktop
AMD Athlon II X3 415e,3,"1,441","1,028",45,AM3,Desktop
AMD Athlon II X3 420e,3,"1,557","1,058",45,AM3,Desktop
AMD Athlon II X3 425,3,"1,576","1,105",95,AM3,Desktop
AMD Athlon II X3 435,3,"1,670","1,188",95,AM3,Desktop
AMD Athlon II X3 440,3,"1,718","1,220",95,AM3,Desktop
AMD Athlon II X3 445,3,"1,799","1,281",95,AM3,Desktop
AMD Athlon II X3 450,3,"1,763","1,292",95,AM3,Desktop
AMD Athlon II X3 455,3,"1,832","1,343",95,AM3,Desktop
AMD Athlon II X3 460,3,"1,924","1,390",95,AM3,Desktop
AMD Athlon II X4 553,4,"2,418","1,204",NA,Unknown,Unknown
AMD Athlon II X4 555,4,"2,310","1,242",NA,Unknown,Unknown
AMD Athlon II X4 557,4,"2,567","1,345",160,AM3,Desktop
AMD Athlon II X4 559,4,"2,602","1,399",NA,Unknown,Unknown
AMD Athlon II X4 600e,4,"1,711",913,45,AM3,Desktop
AMD Athlon II X4 605e,4,"1,961","1,016",45,AM3,Desktop
AMD Athlon II X4 610e,4,"1,859","1,003",45,AM3,Desktop
AMD Athlon II X4 615e,4,"1,967","1,037",45,AM3,Desktop
AMD Athlon II X4 620,4,"1,914","1,052",95,AM3,Desktop
AMD Athlon II X4 630,4,"2,093","1,138",95,AM3,Desktop
AMD Athlon II X4 631 Quad-Core,4,"2,085","1,118",100,FM1,Desktop
AMD Athlon II X4 635,4,"2,100","1,138",95,AM3,Desktop
AMD Athlon II X4 638 Quad-Core,4,"2,183","1,165",65,FM1,Desktop
AMD Athlon II X4 640,4,"2,168","1,203",95,AM3,Desktop
AMD Athlon II X4 641 Quad-Core,4,"2,143","1,192",100,FM1,Desktop
AMD Athlon II X4 645,4,"2,282","1,262",95,AM3,Desktop
AMD Athlon II X4 650,4,"2,440","1,329",95,Unknown,Unknown
AMD Athlon II X4 651 Quad-Core,4,"2,338","1,296",100,FM1,Unknown
AMD Athlon II X4 655,4,"2,078","1,473",95,AM2+ (940-pin),Unknown
AMD Athlon L110,1,197,223,13,Unknown,Unknown
AMD Athlon LE-1600,1,412,430,45,AM2,Desktop
AMD Athlon LE-1620,1,421,475,45,AM2,Desktop
AMD Athlon LE-1640,1,430,489,45,AM2,Desktop
AMD Athlon LE-1660,1,416,428,45,AM2,Desktop
AMD Athlon Neo MV-40,1,282,442,15,Unknown,Unknown
AMD Athlon Neo X2 Dual Core 6850e,2,456,566,22,Unknown,Unknown
AMD Athlon Neo X2 Dual Core L325,2,476,527,18,Unknown,Unknown
AMD Athlon Neo X2 Dual Core L335,2,529,570,18,Unknown,Unknown
AMD Athlon PRO 200GE,2,"4,139","1,821",35,AM4,Desktop
AMD Athlon PRO 300GE,2,"4,475","1,917",35,AM4,Desktop
AMD Athlon Silver 3050e,2,"2,911","1,459",6,Unknown,Laptop
AMD Athlon Silver 3050GE,2,"4,545","2,016",35,AM4,Laptop
AMD Athlon Silver 3050U,2,"3,064","1,712",15,FP5,Laptop
AMD Athlon Silver PRO 3125GE,2,"4,633","2,074",35,AM4,Desktop
AMD Athlon TF-20,1,268,269,15,Unknown,Unknown
AMD Athlon TF-36,1,338,349,25,Unknown,Unknown
AMD Athlon X2 215,2,996,"1,107",65,Unknown,Unknown
AMD Athlon X2 240,2,921,"1,017",65,Unknown,Unknown
AMD Athlon X2 240e,2,"1,015","1,092",45,Unknown,Unknown
AMD Athlon X2 250,2,993,"1,132",65,Unknown,Unknown
AMD Athlon X2 255,2,938,"1,095",65,AM2+/AM3,Unknown
AMD Athlon X2 280,2,"1,327","1,258",65,AM3,Unknown
AMD Athlon X2 340 Dual Core,2,"1,315","1,301",65,Unknown,Unknown
AMD Athlon X2 370K Dual Core,1,"1,504","1,514",65,Unknown,Unknown
AMD Athlon X2 Dual Core 3250e,2,357,458,22,Unknown,Unknown
AMD Athlon X2 Dual Core 6850e,2,564,623,22,Unknown,Unknown
AMD Athlon X2 Dual Core BE-2300,2,570,644,45,AM2,Desktop
AMD Athlon X2 Dual Core BE-2350,2,591,705,45,AM2,Desktop
AMD Athlon X2 Dual Core BE-2400,2,688,693,18,FT1,Desktop
AMD Athlon X2 Dual Core L310,2,379,434,13,S1,Laptop
AMD Athlon X3 425,3,"1,516",845,95,Unknown,Unknown
AMD Athlon X3 435,3,"1,781","1,192",95,Unknown,Unknown
AMD Athlon X3 440,3,"1,438","1,129",95,Unknown,Unknown
AMD Athlon X3 455,3,"1,783","1,227",95,AM2+/AM3,Unknown
AMD Athlon X4 530,4,"1,786",690,25,AM1,Desktop
AMD Athlon X4 620,4,"1,810","1,033",95,Unknown,Unknown
AMD Athlon X4 640,4,"2,115","1,224",95,Unknown,Unknown
AMD Athlon X4 730,2,"1,936",562,65,FM2,Desktop
AMD Athlon X4 740 Quad Core,2,"2,655","1,356",65,FM2,Desktop
AMD Athlon X4 750 Quad Core,4,"1,986","1,338",65,FM2,Desktop
AMD Athlon X4 750K Quad Core,2,"2,787","1,446",100,FM2,Unknown
AMD Athlon X4 760K Quad Core,2,"2,941","1,521",100,FM2,Desktop
AMD Athlon X4 830,2,"2,901","1,292",65,FM2+,Desktop
AMD Athlon X4 840,2,"3,287","1,482",65,FM2+,Desktop
AMD Athlon X4 845,2,"3,784","1,680",65,FM2+,Desktop
AMD Athlon X4 860K,2,"3,431","1,530",95,FM2+,Desktop
AMD Athlon X4 870K,2,"3,401","1,548",95,FM2+,Desktop
AMD Athlon X4 880K,2,"3,676","1,628",95,FM2+,Desktop
AMD Athlon X4 950,4,"3,590","1,657",65,AM4,Desktop
AMD Athlon XP 1500+,1,167,251,NA,Unknown,Unknown
AMD Athlon XP 1600+,1,174,265,NA,Unknown,Unknown
AMD Athlon XP 1700+,1,176,272,64,Socket A (462),Desktop
AMD Athlon XP 1800+,1,195,301,66,Socket A,Desktop
AMD Athlon XP 1900+,1,203,312,NA,Unknown,Unknown
AMD Athlon XP 2000+,1,195,311,70,Socket A,Desktop
AMD Athlon XP 2100+,1,210,327,NA,Unknown,Unknown
AMD Athlon XP 2200+,1,214,335,NA,Unknown,Unknown
AMD Athlon XP 2400+,1,234,375,NA,Unknown,Unknown
AMD Athlon XP 2500+,1,231,353,NA,Unknown,Unknown
AMD Athlon XP 2600+,1,242,380,NA,Unknown,Unknown
AMD Athlon XP 2700+,1,256,398,NA,Unknown,Unknown
AMD Athlon XP 2800+,1,260,408,89,754,Unknown
AMD Athlon XP 2900+,1,276,410,NA,Unknown,Unknown
AMD Athlon XP 3000+,1,262,396,62,Socket A,Desktop
AMD Athlon XP 3100+,1,282,431,NA,Unknown,Unknown
AMD Athlon XP 3200+,1,281,430,62,AM2,Unknown
AMD Athlon XP1600+,1,183,272,NA,Unknown,Unknown
AMD Athlon XP2400+,1,243,390,NA,Unknown,Unknown
AMD Athlon64 X2 Dual Core 4600+,2,803,755,110,AM2,Desktop
AMD C-30,1,178,375,9,FT1,Laptop
AMD C-50,2,260,315,9,FT1,Laptop
AMD C-60,2,290,354,9,Unknown,Unknown
AMD C-60 APU,2,309,359,9,Unknown,Unknown
AMD C-70 APU,2,300,354,9,Unknown,Unknown
AMD E-240,1,182,385,18,FT1,Laptop
AMD E-300 APU,2,359,401,18,FT1,Laptop
AMD E-350,2,420,494,18,FT1,"Desktop, Laptop"
AMD E-350 APU,2,401,482,18,FT1 BGA,"Desktop, Laptop"
AMD E-350D APU,2,478,521,18,Unknown,Unknown
AMD E-450 APU,2,422,498,18,FT1,Laptop
AMD E1 Micro-6200T APU,2,600,498,3.95,FT3b,Laptop
