Videocard Name,G3D Mark -,G2D Mark -,TDP (W) -,Category
GeForce MX350,"2,862",243,NA,Unknown
GeForce MX450,"3,754",297,NA,Unknown
GeForce MX550,"5,062",335,NA,Unknown
GeForce PCX 5300,6,197,NA,Desktop
GeForce PCX 5750,35,310,NA,Desktop
GeForce PCX 5900,34,258,NA,Desktop
GeForce RTX 2050,"8,007",380,NA,Unknown
GeForce RTX 2060,"13,941",751,160,Desktop
GeForce RTX 2060 (Mobile),"11,355",540,80,Mobile
GeForce RTX 2060 SUPER,"16,504",881,175,Desktop
GeForce RTX 2060 with Max-Q Design,"9,730",434,65,Mobile
GeForce RTX 2070,"16,085",833,175,Desktop
GeForce RTX 2070 (Mobile),"12,354",601,115,Mobile
GeForce RTX 2070 SUPER,"18,169",896,215,Desktop
GeForce RTX 2070 Super with Max-Q Design,"14,267",687,80,Mobile
GeForce RTX 2070 with Max-Q Design,"12,112",509,80,Mobile
GeForce RTX 2080,"18,717",916,250,Desktop
GeForce RTX 2080 (Mobile),"15,107",812,150,Mobile
GeForce RTX 2080 SUPER,"19,514",934,250,Desktop
GeForce RTX 2080 Super with Max-Q Design,"14,012",621,80,Mobile
GeForce RTX 2080 Ti,"21,782",940,250,Desktop
GeForce RTX 2080 with Max-Q Design,"13,662",574,90,Mobile
GeForce RTX 3050,"12,686",903,NA,Unknown
GeForce RTX 3050 Laptop GPU,"8,999",411,80,Mobile
GeForce RTX 3050 Ti Laptop GPU,"9,457",416,80,Mobile
GeForce RTX 3060,"16,921",946,170,Desktop
GeForce RTX 3060 Laptop GPU,"12,625",550,115,Mobile
GeForce RTX 3060 Ti,"20,199",959,200,Desktop
GeForce RTX 3070,"22,081",969,220,Desktop
GeForce RTX 3070 Laptop GPU,"15,223",652,115,Mobile
GeForce RTX 3070 Ti,"23,261",994,290,Desktop
GeForce RTX 3070 Ti Laptop GPU,"18,734",692,NA,Unknown
GeForce RTX 3080,"24,797","1,002",320,Desktop
GeForce RTX 3080 Laptop GPU,"16,553",663,115,Mobile
GeForce RTX 3080 Ti,"26,764","1,024",350,Desktop
GeForce RTX 3080 Ti Laptop GPU,"19,093",744,NA,Unknown
GeForce RTX 3090,"26,353",997,350,Desktop
GeForce RTX 3090 Ti,"30,812","1,141",NA,Unknown
GeForce2 Go,4,95,NA,Mobile
GeForce2 GTS/GeForce2 Pro,4,136,NA,Unknown
GeForce2 Integrated GPU,4,171,NA,Unknown
GeForce2 MX,3,143,NA,Desktop
GeForce2 MX 100/200,3,119,NA,Unknown
GeForce2 MX with DVI-D and TV-out,5,187,NA,Unknown
GeForce2 MX/MX 400,4,129,NA,Unknown
GeForce2 Ti,5,149,NA,Desktop
GeForce2 Ultra,6,147,NA,Desktop
GeForce3,5,120,NA,Desktop
GeForce3 Ti 200,4,140,NA,Unknown
GeForce3 Ti 500,3,116,NA,Unknown
GeForce4 420 Go,3,147,NA,Mobile
GeForce4 420 Go 32M,5,168,NA,Unknown
GeForce4 4200 Go,4,173,NA,Mobile
GeForce4 440,5,193,NA,Unknown
GeForce4 440 Go,4,140,NA,Mobile
GeForce4 440 Go 64M,6,156,NA,Unknown
GeForce4 448 Go,6,199,NA,Unknown
GeForce4 MX 4000,5,131,NA,Unknown
GeForce4 MX 420,5,168,NA,Desktop
GeForce4 MX 440,5,140,NA,Desktop
GeForce4 MX 440 with AGP8X,5,157,NA,Desktop
GeForce4 MX 440SE,5,159,NA,Unknown
GeForce4 MX 460,4,176,NA,Desktop
GeForce4 MX Integrated GPU,7,198,NA,Unknown
GeForce4 Ti 4200,6,154,NA,Unknown
GeForce4 Ti 4400,7,170,NA,Unknown
GeForce4 Ti 4600,6,173,NA,Desktop
GeForce4 Ti 4800,6,190,NA,Unknown
GeForce4 Ti 4800 SE,7,187,NA,Unknown
GeForce9400M,106,161,NA,Unknown
GF117,554,446,NA,Unknown
GIGABYTE RADEON 9600 PRO,39,129,NA,Unknown
Gigabyte RADEON X300,41,209,NA,Unknown
GRID GTX P40-6,"4,340",277,NA,Unknown
GRID K1,811,463,NA,Workstation
GRID K120Q,293,278,NA,Workstation
GRID K140Q,728,457,NA,Workstation
GRID K160Q,628,262,NA,Workstation
GRID K180Q,534,113,NA,Workstation
GRID K2,"2,737",319,NA,Workstation
GRID K220Q,912,539,NA,Workstation
GRID K240Q,"2,541",212,NA,Workstation
GRID K260Q,"2,949",361,NA,Workstation
GRID K280Q,"2,840",371,NA,Workstation
GRID K520,"3,399",174,NA,Workstation
GRID M10-0Q,914,613,NA,Unknown
GRID M10-1B,"2,310",417,NA,Unknown
GRID M10-1Q,"3,351",556,NA,Unknown
GRID M10-2B,"2,333",201,NA,Unknown
GRID M10-2Q,"2,654",75,NA,Unknown
GRID M10-4Q,"3,224",486,NA,Unknown
GRID M10-8Q,"2,606",557,NA,Unknown
GRID M6-0B,912,764,NA,Workstation
GRID M6-1Q,"2,069",423,NA,Unknown
GRID M6-8Q,"3,568",556,NA,Unknown
GRID M60-0B,"1,838",596,NA,Unknown
GRID M60-0Q,827,516,NA,Unknown
GRID M60-1B,"4,457",483,NA,Workstation
GRID M60-1Q,"4,251",211,NA,Unknown
GRID M60-2Q,"4,316",339,NA,Unknown
GRID M60-4Q,"3,831",278,NA,Workstation
GRID M60-8A,"5,523",380,NA,Unknown
GRID M60-8Q,"3,884",618,NA,Unknown
GRID P100-16Q,"5,945",757,NA,Unknown
GRID P100-1B,"2,223",544,NA,Unknown
GRID P100-8Q,"3,841",481,NA,Unknown
GRID P40-24Q,"4,728",653,NA,Unknown
GRID P40-2B,"3,354",633,NA,Unknown
GRID P40-2Q,"4,288",633,NA,Unknown
GRID P40-3Q,681,603,NA,Unknown
GRID P40-4Q,778,621,NA,Unknown
GRID P6-2Q,"3,926",337,NA,Unknown
GRID P6-4A,"2,639",42,NA,Unknown
GRID P6-4Q,"4,429",586,NA,Unknown
GRID RTX6000P-4Q,"4,283",76,NA,Unknown
GRID RTX6000P-6Q,"4,777",192,NA,Unknown
GRID RTX8000-2Q,"3,574",86,NA,Unknown
GRID RTX8000-4Q,"3,961",81,NA,Unknown
GRID RTX8000P-2Q,"3,843",84,NA,Unknown
GRID T4-1Q,"2,703",84,NA,Unknown
GRID T4-2B,"2,601",62,NA,Unknown
GRID T4-2Q,"3,031",79,NA,Unknown
GRID T4-4Q,"3,406",85,NA,Unknown
GRID T4-8Q,"4,284",89,NA,Unknown
GRID V100-8Q,16,149,NA,Unknown
GRID V100D-8Q,"4,156",518,NA,Unknown
GT 430,223,325,NA,Unknown
HD6450,221,417,NA,Unknown
HIS DIGITAL HD 4650 AGP,452,190,NA,Unknown
IGP 340M,1,39,NA,Unknown
IncrediblE HD,389,427,NA,Unknown
IncrediblE HD 3000,291,18,NA,Unknown
IncrediblE HD 4000,517,520,NA,Unknown
IncrediblE HD 4600,750,735,NA,Unknown
Intel - Express Chipset G41,57,325,NA,Unknown
Intel - Express Chipset Q45/Q43,58,336,NA,Unknown
Intel 2nd Generation SandyBridge HD,212,342,NA,Unknown
Intel 2nd Generation SandyBridge HD 3000,205,555,NA,Unknown
Intel 4th Generation Haswell HD,420,734,NA,Unknown
Intel 82845G Controller,2,132,NA,Unknown
Intel 82845G/GL Controller,3,176,NA,Unknown
Intel 82845G/GL/GE/PE/GV Controller,3,159,NA,Unknown
Intel 82852/82855 GM/GME Controller,1,107,NA,Unknown
Intel 82865G Controller,5,194,NA,Unknown
Intel 82915G Express,6,206,NA,Unknown
Intel 82915G/915GV/910GL,4,95,NA,Unknown
Intel 82915G/GV/910GL Advanced v3.5,3,94,NA,Unknown
Intel 82915G/GV/910GL Express,3,142,NA,Unknown
Intel 82945G Express,15,13,NA,Unknown
Intel 82945G Express-Chipsatzfamilie,8,240,NA,Unknown
Intel 865 Embedded Controller,4,20,NA,Unknown
"Intel 915G,910G Express",4,166,NA,Unknown
Intel 915G/915GV/910GL Embedded Controller Functio,5,41,NA,Unknown
Intel 945G Embedded Chipset Function 0,5,251,NA,Unknown
Intel 946GZ Embedded Chipset Function 0,3,66,NA,Unknown
Intel 946GZ Express,3,44,NA,Unknown
Intel B43 Express Chipset,68,188,NA,Unknown
Intel Coffee Lake UHD,"1,158",918,NA,Unknown
Intel Extreme Controller,2,136,NA,Unknown
Intel G33/G31 Express,87,25,NA,Desktop
Intel G35 Express,"3,090",384,NA,Unknown
Intel G41 Express Chipset,81,24,NA,Unknown
Intel G41 Express-Chipsatz,57,267,NA,Unknown
Intel G45/G43 Express Chipset,75,30,24,Desktop
Intel G45/G43/G41 Express Chipset,68,318,NA,Unknown
Intel G965 Express,25,39,NA,Unknown
Intel GMA 3150 Express,3,66,NA,Unknown
Intel Haswell HD - GT1,123,492,NA,Unknown
Intel Haswell HD - GT2,139,630,NA,Unknown
Intel HD 2000,213,456,NA,Unknown
Intel HD 3000,257,48,NA,Unknown
Intel HD 4000,333,187,NA,Unknown
Intel HD 4400,521,283,NA,Unknown
Intel HD 4600,626,315,45,Desktop
Intel HD 500,295,81,NA,Unknown
Intel HD 5000,563,231,NA,Unknown
Intel HD 505,339,95,NA,Unknown
Intel HD 510,619,159,NA,Unknown
Intel HD 515,620,190,NA,Unknown
Intel HD 520,866,211,NA,Unknown
Intel HD 5200,830,653,NA,Unknown
Intel HD 530,984,247,NA,Unknown
Intel HD 5300,390,186,NA,Unknown
Intel HD 5500,582,234,NA,Unknown
Intel HD 5600,712,595,NA,Unknown
Intel HD 6000,850,275,NA,Unknown
Intel HD 610,673,156,NA,Unknown
Intel HD 615,724,187,NA,Unknown
Intel HD 630,"1,122",269,NA,Unknown
Intel HD Family,451,188,NA,Unknown
Intel HD Graphics 620,922,218,NA,Unknown
Intel HD manual-15.28-1861,63,72,NA,Unknown
Intel HD manual-gen9_2015-133271,165,119,NA,Unknown
Intel HD Modded,112,303,NA,Unknown
Intel HD P3000,297,104,NA,Unknown
Intel HD P4000,516,636,NA,Unknown
Intel HD P4600,605,963,NA,Unknown
Intel HD P4600/P4700,624,368,NA,Unknown
Intel HD P530,"1,220",270,NA,Unknown
Intel HD P630,"1,237",351,NA,Unknown
Intel i gfx-driver-ci-master-9938,206,47,NA,Unknown
Intel i gfx-driver-ci-master-9938 DCH-I,573,194,NA,Unknown
Intel Infoshock HD,194,393,NA,Unknown
Intel Iris 5100,755,276,NA,Unknown
Intel Iris 540,"1,258",328,NA,Unknown
Intel Iris 550,"1,344",308,NA,Unknown
Intel Iris 6100,907,314,NA,Unknown
Intel Iris 650,"1,795",764,NA,Unknown
Intel Iris Plus,"1,849",316,NA,Unknown
Intel Iris Plus 640,"1,330",343,NA,Mobile
Intel Iris Plus 645,"1,742",405,NA,Unknown
Intel Iris Plus 650,"1,587",382,NA,Mobile
Intel Iris Plus 655,"1,771",368,NA,Unknown
Intel Iris Pro 5200,"1,020",407,NA,Unknown
Intel Iris Pro 580,"1,993",371,NA,Unknown
Intel Iris Pro 6100,925,548,NA,Unknown
Intel Iris Pro Graphics 6200,"1,429",563,NA,Unknown
Intel Iris Pro P580,"2,169",573,NA,Unknown
Intel Iris Pro P6300,"1,654",552,NA,Unknown
Intel Iris Xe,"2,788",339,NA,Unknown
Intel Iris Xe MAX,"1,973",315,NA,Unknown
Intel Media Accelerator,33,78,NA,Unknown
Intel Media Accelerator 3150,3,86,NA,Unknown
Intel Media Accelerator 500,3,71,NA,Unknown
Intel Media Accelerator 600,7,58,NA,Unknown
Intel Media Accelerator HD,99,40,NA,Unknown
Intel Poison Ivy,739,783,NA,Unknown
Intel Q33 Express,5,25,NA,Unknown
Intel Q35 Embedded,8,303,NA,Unknown
Intel Q35 Express,146,29,NA,Unknown
Intel Q45/Q43 Express Chipset,142,29,NA,Unknown
Intel Q45/Q43 Express-Chipsatz,57,352,NA,Unknown
Intel Q965/Q963 Express,313,60,NA,Unknown
Intel Skylake HD DT GT2,577,402,NA,Unknown
Intel UHD,"1,590",268,NA,Unknown
Intel UHD 600,328,98,NA,Unknown
Intel UHD 605,371,112,NA,Unknown
Intel UHD 610,729,180,NA,Unknown
Intel UHD 615,761,198,NA,Unknown
Intel UHD 617,848,270,NA,Unknown
Intel UHD 620,889,662,NA,Unknown
Intel UHD 630,"1,297",305,NA,Unknown
Intel UHD 710,"1,171",324,NA,Unknown
Intel UHD 730,"1,512",326,NA,Unknown
Intel UHD 750,"1,777",335,NA,Unknown
Intel UHD 770,"2,482",437,NA,Unknown
Intel UHD Graphics 620,"1,037",247,NA,Desktop
Intel UHD P630,"2,541",326,NA,Unknown
Intel UHD P750,"1,767",507,NA,Unknown
Intel UHD ReleaseInternal,"1,959",293,NA,Unknown
Intel US15 Embedded Media and Controller,7,67,NA,Unknown
ION,86,20,NA,Unknown
ION LE,98,96,NA,Unknown
KV SPECTRE LITE MOBILE 25W,538,291,NA,Unknown
LMIMIRR,875,515,NA,Unknown
M71-M,64,141,NA,Unknown
M76M,124,279,NA,Unknown
M860G with Mobility Radeon 4100,76,203,NA,Unknown
M880G with Mobility Radeon HD 4200,93,260,NA,Unknown
M880G with Mobility Radeon HD 4225,72,183,NA,Unknown
M880G with Mobility Radeon HD 4250,104,270,NA,Unknown
Master X3100 Driver,10,79,NA,Unknown
Matrox C420 LP PCIe x16,635,523,NA,Unknown
Matrox C680 PCIe x16,"1,904",700,NA,Unknown
Matrox C900 PCIe x16,"1,812",761,NA,Unknown
Matrox G200e WDDM 1.2,59,505,NA,Unknown
Matrox G200e WDDM 2.0,123,801,NA,Unknown
Matrox G200eh,41,449,NA,Unknown
Matrox G200eh WDDM 1.2,52,448,NA,Unknown
Matrox G200eh WDDM 2.0,45,123,NA,Unknown
Matrox G200eR,37,400,NA,Unknown
Matrox G200eR WDDM 1.2,45,210,NA,Unknown
Matrox G200eR WDDM 2.0,68,457,NA,Unknown
Matrox G200eW,40,107,NA,Unknown
Matrox G200eW WDDM 1.2,50,397,NA,Unknown
Matrox G200eW3 WDDM 2.0,94,316,NA,Unknown
Matrox M9120 PCIe x16,20,870,NA,Unknown
Matrox M9120 Plus LP PCIe x16,26,27,NA,Unknown
Matrox M9125 PCIe x16,26,138,NA,Unknown
Matrox M9128 LP PCIe x16,29,47,NA,Unknown
Matrox M9138 LP PCIe x16,42,160,NA,Unknown
Matrox M9140 LP PCIe x16,23,390,NA,Unknown
Matrox M9148 LP PCIe x16,32,135,NA,Unknown
Matrox Millennium P650 PCIe 128,5,287,NA,Unknown
Matrox Millennium P690 PCIe x16,367,295,NA,Unknown
Matrox Millennium P690 Plus LP PCIe x16,7,251,NA,Unknown
Matrox Parhelia 128MB,3,107,NA,Unknown
Matrox Parhelia 256MB,9,140,NA,Unknown
Matrox Parhelia APVe,6,275,NA,Unknown
MCT USB3.0 External Device,520,129,NA,Unknown
MEDION RADEON 9800 XXL,72,187,NA,Unknown
MEDION RADEON X740XL,95,228,NA,Unknown
Miracast display port driver V3,"15,910",604,NA,Unknown
MIRRORV3,"1,081",421,NA,Unknown
Mobile Intel - famiglia Express Chipset 45,39,264,NA,Unknown
Mobile Intel 4 Express-Chipsatzfamilie,45,251,NA,Unknown
Mobile Intel 45 Express,42,33,NA,Unknown
Mobile Intel 45 Express-Chipsatzfamilie,117,270,NA,Unknown
Mobile Intel 915GM/GMS/910GML Express,2,43,NA,Unknown
Mobile Intel 945 Express,2,9,NA,Unknown
Mobile Intel 945GM Express,6,223,NA,Unknown
Mobile Intel 945GM/GU Express,5,223,NA,Unknown
Mobile Intel 965 Express,58,17,NA,Unknown
Mobile Intel 965 Express - BR-0907-0461 v1839,8,124,NA,Unknown
Mobile Intel 965 Express-Chipsatzfamilie,24,203,NA,Unknown
Mobile Intel HD,285,164,NA,Unknown
Mobile Intel serie 4 Express,45,232,NA,Unknown
Mobile Intel965 Express,18,264,NA,Unknown
MOBILITY FIREGL 7800,5,86,NA,Workstation
MOBILITY FIREGL T2,41,171,NA,Workstation
MOBILITY FIREGL T2/T2e,34,171,NA,Workstation
MOBILITY FireGL V3200,62,238,NA,Workstation
MOBILITY FireGL V5000,82,223,NA,Workstation
MOBILITY FireGL V5200,45,248,NA,Workstation
MOBILITY FireGL V5250,27,252,NA,Workstation
Mobility FireGL V5725,219,405,NA,Workstation
MOBILITY IGP 9000/9100,10,125,NA,Unknown
Mobility Radeon 4100,81,265,NA,Unknown
MOBILITY RADEON 7000 IGP,6,151,NA,Unknown
MOBILITY RADEON 7500,4,103,NA,Mobile
MOBILITY RADEON 9000,3,111,NA,Mobile
MOBILITY RADEON 9000 IGP,8,143,NA,Unknown
MOBILITY RADEON 9000/9100 IGP,6,118,NA,Unknown
MOBILITY RADEON 9100 IGP,3,128,NA,Unknown
MOBILITY RADEON 9200,3,145,NA,Mobile
MOBILITY RADEON 9550,30,166,NA,Mobile
MOBILITY RADEON 9600,36,172,NA,Mobile
MOBILITY RADEON 9600 PRO TURBO,25,137,NA,Unknown
MOBILITY RADEON 9600/9700,39,165,NA,Mobile
MOBILITY RADEON 9700,27,158,NA,Mobile
MOBILITY RADEON 9800,46,110,NA,Mobile
Mobility Radeon HD 2300,51,211,NA,Mobile
Mobility Radeon HD 2400,90,212,NA,Mobile
Mobility Radeon HD 2400 XT,102,246,NA,Mobile
Mobility Radeon HD 2600,168,267,NA,Mobile
Mobility Radeon HD 2600 XT,192,329,NA,Mobile
Mobility Radeon HD 3400 Serisi,111,239,NA,Unknown
Mobility Radeon HD 3410,63,130,NA,Mobile
Mobility Radeon HD 3430,98,260,NA,Mobile
Mobility Radeon HD 3450,91,247,NA,Mobile
Mobility Radeon HD 3470,93,250,NA,Mobile
Mobility Radeon HD 3470 Hybrid X2,94,206,NA,Unknown
Mobility Radeon HD 3650,130,48,NA,Mobile
Mobility Radeon HD 3670,232,331,NA,Mobile
Mobility Radeon HD 3850,366,248,NA,Mobile
Mobility Radeon HD 3870,548,288,NA,Mobile
Mobility Radeon HD 3870 X2,478,187,NA,Mobile
Mobility Radeon HD 4200,91,260,NA,Mobile
Mobility Radeon HD 4225,66,174,NA,Mobile
Mobility Radeon HD 4250,98,280,NA,Mobile
Mobility Radeon HD 4270,93,282,NA,Mobile
Mobility Radeon HD 4300 Serisi,73,216,NA,Unknown
Mobility Radeon HD 4330,135,377,NA,Mobile
Mobility Radeon HD 4350,148,369,NA,Unknown
Mobility Radeon HD 4550,191,290,NA,Mobile
Mobility Radeon HD 4570,133,28,NA,Mobile
Mobility Radeon HD 4650,401,320,NA,Mobile
Mobility Radeon HD 4670,463,375,NA,Mobile
Mobility Radeon HD 4830,512,285,NA,Mobile
Mobility Radeon HD 4850,866,472,NA,Mobile
Mobility Radeon HD 4870,720,416,NA,Mobile
Mobility Radeon HD 5000,773,429,NA,Unknown
Mobility Radeon HD 5000 Serisi,479,305,NA,Unknown
Mobility Radeon HD 5165,284,362,35,Mobile
Mobility Radeon HD 530v,175,353,NA,Mobile
Mobility Radeon HD 540v,188,382,NA,Unknown
Mobility Radeon HD 5430,181,330,7,Mobile
Mobility Radeon HD 5450,214,320,11,Mobile
Mobility Radeon HD 545v,200,270,NA,Mobile
Mobility Radeon HD 5470,236,362,13,Mobile
Mobility Radeon HD 550v,266,398,NA,Mobile
Mobility Radeon HD 5570,544,246,NA,Unknown
Mobility Radeon HD 560v,318,366,NA,Mobile
Mobility Radeon HD 5650,451,143,15,Mobile
Mobility Radeon HD 565v,353,318,NA,Mobile
Mobility Radeon HD 5730,487,144,26,Mobile
Mobility Radeon HD 5850,763,403,31,Mobile
Mobility Radeon HD 5870,"1,062",207,50,Mobile
Mobility Radeon HD serie 4200,97,227,NA,Unknown
Mobility Radeon X1300,40,222,NA,Mobile
Mobility Radeon X1350,40,274,NA,Mobile
Mobility Radeon X1400,43,226,NA,Mobile
Mobility Radeon X1450,33,205,NA,Mobile
Mobility Radeon X1600,92,236,NA,Mobile
Mobility Radeon X1700,105,228,NA,Mobile
MOBILITY RADEON X1800,130,247,NA,Mobile
Mobility Radeon X1900,135,287,NA,Mobile
Mobility Radeon X2300,48,263,NA,Mobile
Mobility Radeon X2300 HD,49,244,NA,Unknown
Mobility Radeon X2500,82,235,NA,Mobile
MOBILITY RADEON X300,34,204,NA,Mobile
MOBILITY RADEON X600,50,209,NA,Mobile
MOBILITY RADEON X600 SE,49,233,NA,Unknown
MOBILITY RADEON X700,67,200,NA,Mobile
MOBILITY RADEON X700 XL,60,189,NA,Unknown
MOBILITY RADEON XPRESS 200,27,176,NA,Unknown
Mobility Radeon. HD 5470,215,398,13,Mobile
MOBILITY/RADEON 9000,4,153,NA,Unknown
MONSTER GeForce GTX 675M,"2,637",686,NA,Unknown
MxGPU,"1,826",479,NA,Unknown
N16P-GX,"1,205",803,NA,Unknown
N18E-Q1,"2,525",547,NA,Unknown
nForce 750a SLI,83,351,NA,Unknown
nForce 760i SLI,140,379,NA,Unknown
nForce 780a SLI,92,425,NA,Unknown
nForce 980a/780a SLI,82,367,NA,Unknown
NV44,15,251,NA,Unknown
NVIDIA TITAN X,"13,660",912,250,Desktop
NVIDIA TITAN Xp,"18,280",812,250,Desktop
NVS 2100M,139,221,14,Workstation
NVS 300,114,60,17.5,Workstation
NVS 310,242,179,19.5,Workstation
NVS 3100M,115,42,14,Workstation
NVS 315,286,187,19.5,Workstation
NVS 4200M,257,75,NA,Workstation
NVS 510,729,276,35,Workstation
NVS 5100M,194,90,35,Workstation
NVS 5200M,535,193,35,Workstation
NVS 5400M,635,184,35,Workstation
NVS 810,"1,141",313,NA,Unknown
OPAL XT/GL,"1,053",640,NA,Unknown
OpenXT Display Driver,31,485,NA,Unknown
P104-100,"4,450",114,NA,Unknown
P106-090,"2,402",104,NA,Unknown
P106-100,"5,967",339,NA,Unknown
PHDGD Ivy 4,374,434,NA,Unknown
PHDGD Ivy 5,445,497,NA,Unknown
PHDGD Quantic C3,117,351,NA,Unknown
PHDGD Sapphire GR for Mobile Intel 965,26,243,NA,Unknown
PHDGD Solo 1.2.0 x86,11,169,NA,Unknown
PHDGD Solo 2 x64,20,183,NA,Unknown
Professional HD Driver,654,555,NA,Unknown
Q12U-1,"5,164",600,NA,Unknown
Quadro 1000M,599,201,45,Workstation
Quadro 1100M,755,734,NA,Unknown
Quadro 2000,942,294,62,Workstation
Quadro 2000 D,"1,239",594,NA,Unknown
Quadro 2000D,989,324,NA,Unknown
Quadro 2000M,773,249,55,Workstation
Quadro 2100M,"1,100",765,NA,Unknown
Quadro 280 NVS PCIe,6,185,NA,Unknown
Quadro 3000M,"1,032",321,75,Workstation
Quadro 400,146,67,32,Workstation
Quadro 4000,"1,489",367,142,Workstation
Quadro 4000M,"1,307",256,100,Workstation
Quadro 410,436,218,38,Workstation
Quadro 5000,"1,984",377,152,Workstation
Quadro 5000M,"2,060",426,100,Workstation
Quadro 500M,664,588,35,Workstation
Quadro 5010M,"1,891",366,100,Workstation
Quadro 600,546,225,40,Workstation
Quadro 6000,"2,689",458,204,Workstation
Quadro 7000,"3,505",397,204,Workstation
Quadro CX,947,454,NA,Unknown
Quadro FX 1000,34,266,NA,Workstation
Quadro FX 1100,36,178,NA,Workstation
Quadro FX 1300,34,276,55,Workstation
Quadro FX 1400,124,152,70,Workstation
Quadro FX 1500,190,105,65,Workstation
Quadro FX 1500M,171,275,45,Workstation
Quadro FX 1600M,186,211,50,Workstation
Quadro FX 1700,118,44,42,Workstation
Quadro FX 1700M,173,135,50,Workstation
Quadro FX 1800,405,90,59,Workstation
Quadro FX 1800M,469,73,45,Workstation
Quadro FX 2000,18,146,NA,Workstation
Quadro FX 2500M,218,272,45,Workstation
Quadro FX 2700,543,465,NA,Unknown
Quadro FX 2700M,358,74,65,Workstation
Quadro FX 2800M,430,83,75,Workstation
Quadro FX 3000,69,178,NA,Workstation
Quadro FX 3400/4400,104,239,101,Workstation
Quadro FX 3450,149,235,83,Workstation
Quadro FX 3450/4000 SDI,175,190,NA,Workstation
Quadro FX 350,86,378,21,Workstation
Quadro FX 3500,292,106,80,Workstation
Quadro FX 3500M,306,309,45,Workstation
Quadro FX 350M,45,132,15,Workstation
Quadro FX 3600M,467,365,70,Workstation
Quadro FX 360M,87,308,17,Workstation
Quadro FX 370,84,385,35,Workstation
Quadro FX 370 Low Profile,103,492,NA,Unknown
Quadro FX 370 LP,108,481,25,Workstation
Quadro FX 3700,384,158,78,Workstation
Quadro FX 3700M,467,117,75,Workstation
Quadro FX 370M,93,334,20,Workstation
Quadro FX 380,186,151,34,Workstation
Quadro FX 380 LP,136,128,28,Workstation
Quadro FX 3800,780,100,108,Workstation
Quadro FX 3800M,628,68,100,Workstation
Quadro FX 380M,124,124,25,Workstation
Quadro FX 4000,101,78,142,Workstation
Quadro FX 4500,226,143,109,Workstation
Quadro FX 4500 X2,236,653,NA,Unknown
Quadro FX 4600,437,202,134,Workstation
Quadro FX 4700 X2,676,509,NA,Unknown
Quadro FX 4800,975,109,150,Workstation
Quadro FX 500/600 PCI,14,203,NA,Unknown
Quadro FX 500/FX 600,8,151,NA,Unknown
Quadro FX 540,81,294,35,Workstation
Quadro FX 550,64,325,25,Workstation
Quadro FX 5500,242,394,96,Workstation
Quadro FX 560,114,360,30,Workstation
Quadro FX 5600,562,168,NA,Unknown
Quadro FX 570,156,140,38,Workstation
Quadro FX 570M,111,49,45,Workstation
Quadro FX 580,155,59,40,Workstation
Quadro FX 5800,"1,248",134,189,Workstation
Quadro FX 770M,198,92,35,Workstation
Quadro FX 880M,219,80,35,Workstation
Quadro FX Go1400,102,223,NA,Unknown
Quadro GP100,"16,203",858,235,Workstation
Quadro GV100,"12,721",802,250,Workstation
Quadro K1000M,774,244,45,Workstation
Quadro K1100M,"1,082",250,45,Workstation
Quadro K1200,"2,871",576,45,Workstation
Quadro K2000,"1,564",370,51,Workstation
Quadro K2000D,"1,632",423,51,Workstation
Quadro K2000M,"1,028",256,55,Workstation
Quadro K2100M,"1,350",278,55,Workstation
Quadro K2200,"3,540",534,68,Workstation
Quadro K2200M,"3,877",432,NA,Unknown
Quadro K3000M,"1,617",357,75,Workstation
Quadro K3100M,"2,279",330,75,Workstation
Quadro K4000,"2,700",421,80,Workstation
Quadro K4000M,"1,949",351,100,Workstation
Quadro K4100M,"2,756",352,100,Workstation
Quadro K420,774,280,41,Workstation
Quadro K4200,"4,337",503,105,Workstation
Quadro K5000,"3,910",434,122,Workstation
Quadro K5000M,"2,754",363,100,Workstation
Quadro K500M,480,184,NA,Unknown
Quadro K5100M,"3,266",418,100,Workstation
Quadro K510M,610,550,30,Workstation
Quadro K5200,"5,780",501,150,Workstation
Quadro K600,768,262,41,Workstation
Quadro K6000,"8,134",558,225,Workstation
Quadro K610M,708,239,30,Workstation
Quadro K620,"2,247",472,45,Workstation
Quadro K620M,"1,157",157,NA,Unknown
Quadro M1000M,"2,996",335,40,"Mobile, Workstation"
Quadro M1200,"3,347",313,45,"Mobile, Workstation"
Quadro M2000,"3,961",567,75,Workstation
Quadro M2000M,"3,549",344,55,"Mobile, Workstation"
Quadro M2200,"4,347",387,55,"Mobile, Workstation"
Quadro M3000M,"5,680",437,75,"Mobile, Workstation"
Quadro M4000,"6,637",687,120,Workstation
Quadro M4000M,"6,530",471,100,"Mobile, Workstation"
Quadro M5000,"9,245",680,150,Workstation
Quadro M5000M,"6,930",487,100,"Mobile, Workstation"
Quadro M500M,"1,121",189,30,"Mobile, Workstation"
Quadro M520,"1,981",234,25,"Mobile, Workstation"
Quadro M5500,"7,915",698,150,"Mobile, Workstation"
Quadro M6000,"11,397",788,250,Workstation
Quadro M6000 24GB,"12,205",782,250,Workstation
Quadro M600M,"2,008",446,30,"Mobile, Workstation"
Quadro M620,"2,840",427,30,"Mobile, Workstation"
Quadro NVS 110M,48,236,10,Workstation
Quadro NVS 120M,47,274,10,Workstation
Quadro NVS 130M,97,190,10,Workstation
Quadro NVS 135M,67,74,10,Workstation
